[Item Amount],vp数字,text_top,text_owner,text_bottom,[Item Note]
1,9,我见犹怜,通用,{control}[巴蜀]时，可以{play}。{save}{this}。
1,12,西域征伐,通用,{control}[西凉]时，可以{play}。{save}{this}。将{reserve}的1个{army}放回游戏盒中。
1,12,高句丽征伐,通用,{control}[幽燕]时，可以{play}。{save}{this}。将{reserve}的1个{army}放回游戏盒中。
1,7,还都洛阳,通用,{only}{jin}{player}{play}。{control}[洛阳]时，可以{play}。{save}{this}。{urusp}交换{jin}{capital}和洛阳的{army}。获得1[{prestige}]。
1,6,华阳国志,通用,{friend_player}{control}[巴蜀]时，可以{play}。{save}{this}，提高1级[{Confusion}]。
1,16,孙子算经,通用,史书区和{friend_area}有至少4个不同的符号时，可以{play}。{save}{this}。
1,13,流芳百世,通用,史书区有至少7张牌时，可以{play}，{save}{this}。
1,12,一往情深,通用,史书区和{friend_area}有至少3个{emp_art}符号时，可以{play}，{save}{this}。
1,8,兰亭集序,通用,提高1级{NeoTaosim}，然后{save}{this}。
1,12,洛神赋图,通用,{save}{this}。
1,9,吕他墓表,通用,{save}{this}。
1,9,桃花源记,通用,{save}{this}。{end}{north}和{jin}国家牌库中，每有1张{refugee}，获得1{vp}
1,5,北征赋,通用,拥有{expedition}时，可以{play}，{save}{this}。
1,6,搜神记,通用,{save}{this}。
1,9,璇玑图,通用,{save}{this}。
1,5,菩萨木像,通用,提高1级{Buddhist}，然后{save}{this}。
1,8,胡笳羌笛,通用,{save}{this}。{end}每在1个{district}{occupy}至少1个{location}，额外获得1{vp}。
1,12,清商乐,通用,{friend_player}{control}[江南]时，可以{play}。{save}{this}。
1,2,刘牢之,通用,选择一个{jin}{player}，失去1{battle}。然后，获得1{battle}。{urusp}{save}{this}，获得1{battle}。
1,0,支妙音,通用,{only}{jin}{player}{play}。{pay}2{vp}，然后{supplant}1个{jin}{location}。
1,1,咄咄怪事,通用,{only}{jin}{player}{play}。{supplant}1个{jin}{location}，然后{save}{this}。{urusp}获得3{vp}。
1,0,庾亮,通用,{only}{jin}{player}{play}。提高一级{order}，然后{save}{this}。{urusp}获得3{vp}。
1,0,出任藩镇,通用,{only}{jin}{player}{play}。降低1[{prestige}]，{supplant}1个{sima}{location}。{urusp}可以{supplant}1个{jin}{player}{location}。
1,0,皮里阳秋,通用,{only}{jin}{player}{play}。提高1级{order}。
1,0,王国宝,通用,选择1个{jin}{player}，随机{discard}掉他的1张{hand}。获得2{vp}。{urusp}改为随机{discard}掉2张。
1,0,刘隗,通用,[{prestige}]最高的{jin}{player}，失去2[{prestige}]，获得2{vp}。
1,1,杨佺期,通用,{urusp}{supplant}1个{jin}{occupy}{location}，然后{save}{this}。
1,1,陶渊明,通用,{search}{art}，然后{save}{this}。
1,1,戴洋,通用,{search}[权力]，然后{save}{this}。
1,1,郭璞,通用,{search}{card_mechanism}，然后{save}{this}。
1,0,玄言清谈,通用,{pay}1{battle}，然后提高1级{order}，提高1级[{NeoTaosim}]。
1,4,法显西行,通用,{occupy}[长安]时，可以{play}。提高2级[{Buddhist}]，{save}{this}。
1,0,良吏,通用,[{Confusion}]等级大于等于1时，可以作为事件{play}。{save}1张{candidate}，提高1级[{Confusion}]。
1,1,葛洪,通用,提高1级[{NeoTaosim}]，获得6{vp}，{save}{this}。
1,1,凿壁偷光,通用,选择一个你在所有{player}中等级最低的{emp_culture}轨道，提升2级，然后{save}{this}。
1,1,荀灌,通用,{occupy}[荆襄]{district}任何{location}时，可以{play}，获得2{battle}，然后{save}{this}。
1,1,草木皆兵,通用,{only}{jin}{player}{play}。获得7{battle}。{save}{this}。
1,1,投鞭断流,通用,{only}{north}{player}{play}。获得7{battle}。{save}{this}。
1,13,赫连勃勃,通用,{choose}将[关中]的1个{location}{supplant}为{neutral}{occupy}，然后将{this}洗回牌库；或者{pay}5{battle}，{save}{this}。
1,0,掠夺,通用,在国家板{discard}牌区加入1张{refugee}，然后获得4{battle}。如果是{north}{player}，额外获得1{battle}。
1,10,徐道覆,通用,{choose}将[江南]或[荆州]的1个{location}{supplant}为{neutral}{occupy}，然后将{this}洗回牌库；或者{pay}4{battle}，{save}{this}。
1,0,朱序,通用,免费[{emp_defense}]1次。获得1{battle}。
1,10,苏峻,通用,{choose}{pay}3{vp}，然后获得5{battle}；或者{pay}3{battle}，{save}{this}。
1,2,谯纵,通用,将[巴蜀]{district}的1个{location}转为{neutral}{occupy}，然后{save}{this}。
1,0,遣使请降,通用,选择1个非{jin}{occupy}的{location}，转为{sima}{occupy}。获得3{vp}。{urusp}改为{player}{occupy}。
1,0,望风而降,通用,拥有至少7{battle}时，可以作为事件{play}。{supplant}1个{neighbor}{location}。
1,0,闻鸡起舞,通用,摸两张牌。
1,2,何充,通用,提高1级{order}，提高1级[{Buddhist}]，{save}{this}
1,0,标新立异,通用,{abandon}任意数量的{hand}，然后摸{abandon}数量+1的{hand}。
1,0,大阅户人,通用,{save}1张{candidate}，然后获得1{vp}。
1,0,清君侧,通用,{only}{jin}{player}{play}。{pay}7{battle}，每{occupy}1个和{capital}{neighbor}的{location}，减少1点{battle}{fee}。获得1{prestige}。{choose}选择1个{jin}{player}，失去2{prestige}；或者其他{jin}{player}和{sima}各失去1{prestige}。
1,0,文化传播,通用,提高1级{emp_culture}，获得1{vp}。
1,0,艺术创作,通用,获得5{vp}。
1,0,整顿军队,通用,3{battle}。
1,0,广开言路,通用,摸2张牌。
