[Item Amount],费用数字,text_top,text_owner,text_bottom,史书vp,[Item Note]
1,1,毛宝,通用,{action}1{battle}。,3
1,2,朱龄石,通用,{action}1{battle}。{passive}每次[{march}]后，获得1{vp}。,4
1,3,陶侃,通用,{action}1{battle}。{enter}{supplant}1个{sima}{occupy}{location}。,6
1,1,尹纬,通用,{action}选择1项：{discard}1张{hand}，然后摸1张牌；或者{abandon}1张{candidate}，然后{supple}1张牌到{court}。,3
1,1,阳骛,通用,{passive}每次{discard}{hand}时，获得2{vp}。,3
1,0,刁协,通用,{passive}每次提高{order}等级时，{discard}1张牌，然后摸1张牌。{enter}{discard}1张牌，然后摸1张牌。,2
1,0,袁乔,通用,{action}没有{hand}时可以使用，摸1张牌。,2
1,1,慧远,通用,每当{friend_player}提高1级{emp_culture}等级时，获得1{vp}。,2
1,1,道安,通用,每当[{Buddhist}]等级提高时，摸1张牌。,2
1,1,卫夫人,通用,每当任意{player}{play}{art}牌时，获得2{vp}。,2
1,1,钱凤,通用,{only}{jin}{player}{play}。{passive}{execute}{urusp}效果时，获得2{vp}。,3
