[Item Amount],费用数字,text_top,text_owner,text_bottom,资源,[Item Note]
1,0,流民,通用,{passive}{refugee}被{save}时，自动放置回供应堆。{save}{refugee}的{player}获得2{vp}。,-
1,0,士卒,通用,{decision}3{battle},1军力
1,0,宫廷,通用,{decision}{save}1张{candidate}。,2vp
1,0,征辟人才,通用,{decision}摸2张牌,2vp
1,1,北伐,通用,{decision}2{battle}。从{jin}面板获得{expedition}。{passive}[北伐]不能被{save}。,1军力1vp
1,1,加官进爵,通用,{decision}{pay}1{vp}，提高1级{order}，提高1级{emp_culture}。{passive}[加官进爵]不能被{save}。,3vp
1,2,骑兵,通用,{decision}4{battle},2军力
1,1,佛经翻译,通用,{decision}选择另一名{player}，提高1级{Buddhist}。获得8{vp}。,3vp
1,2,国子学,通用,{decision}提高1级{emp_culture}。获得4{vp}。,4vp
1,1,佛寺,通用,{decision}提高1级{Buddhist}。获得3{vp}。,3vp
1,2,史官,通用,{decision}{discard}1张{hand}，{save}1张{candidate}，提高1级{Confusion}。,4vp
1,2,千佛洞,通用,{decision}提高1级{Buddhist}，获得4{vp}。,4vp
1,2,礼乐制度,通用,{decision}提高1级{Confusion}，获得3{vp}。{passive}{play}时，提高1级{Confusion}。,3vp
1,3,太学,通用,{decision}提高1级{emp_culture}。每有1级{emp_culture}等级，获得1{vp}。,5vp
1,2,新亭清谈,通用,{decision}提高1级{NeoTaosim}，提高1级{order}。{passive}{only}{jin}{player}{play}。,4vp
1,1,修缮城防,通用,{decision}获得2{battle}。{execute}1次免费[{emp_defense}]行动。,[加固]1次。1vp。
1,1,募兵,通用,{decision}{discard}1张{hand}，获得5{battle}。,1军力
1,3,誓师北伐,通用,{decision}4{battle}。从{jin_panel}获得{expedition}。{passive}{only}{jin}{player}{play}。,2军力1vp
1,2,军屯,通用,{decision}2{battle}。{discard}掉1张{refugee}并在{display}补1张牌，获得2{battle}。,2军力
1,2,骑兵,通用,{decision}4{battle},2军力
1,1,坞堡,通用,{jin}{decision}2{battle}。{execute}1次免费[{emp_defense}]行动。{north}{decision}{supplant}1个{neighbor}{neutral}{location}。,1军力1vp
1,2,轻骑兵,通用,{decision}3{battle}。指定1个{player}，随机{discard}掉1张{hand}。{passive}需要{occupy}至少5个[巴蜀][荆襄][江南][淮南]以外的{location}，才能{play}。,2军力
1,2,广纳贤才,通用,{decision}摸3张牌。,1军力2vp
1,2,华林苑,通用,{decision}8{vp},4vp
1,2,著作郎,通用,{decision}{save}1张{candidate}，获得1{vp}。{passive}{play}时，提高1级{Confusion}。,4vp
1,2,礼乐征伐,通用,{decision}进行1次免费[{occupy}]，放置{sima}{army}，提高1级{sima}[{prestige}]。获得1{battle}，提高1级{Confusion}，获得5{vp}。,1军力2vp
1,2,革除弊政,通用,{decision}{save}1张{candidate}，{discard}1张{hand}，然后摸1张牌。,1军力2vp
1,2,营造宫殿,通用,{jin}{decision}5{vp}，{sima}获得7{vp}；{north}{decision}8{vp},4vp
