[Item Amount],费用数字,text_top,text_owner,text_bottom,史书vp,[Item Note]
1,3,邓羌,苻坚,{action}2{battle},6
1,3,王猛,苻坚,{passive}每次[{save}]时，获得2{battle}。,6
1,3,慕容恪,慕容,{action}1{battle}，{discard}1张{hand}，然后摸1张{hand}。,6
1,1,崔宏,拓跋,{action}选择1项：{discard}1张{hand}，然后摸1张牌；或者{free}1次[{occupy}]。,3
1,3,王羲之,王导,{passive}每次{play}{art}牌或选择{art}策略时，摸1张牌。{enter}可以{discard}1张牌，额外提高1级[{NeoTaosim}]。,6
1,3,王敦,王导,{passive}当你的[{prestige}]是并列最高时，也可以{execute}{urusp}效果。每次{execute}{urusp}效果时，摸1张牌并获得2{vp}。,8
1,3,谢玄,谢安,{passive}每次{play}{military}牌或{execute}{military}策略，摸1张牌。,6
1,2,谢道蕴,谢安,{passive}每次{play}{art}牌或者{execute}{art}策略时，获得3{vp}。,4
1,1,郗超,郗鉴,{action}选择1项：{discard}1张{hand}，然后摸1张牌；或者{abandon}1张{candidate}，然后{supple}1张牌到{court}。,3
1,2,谢艾,张轨,{action}1{battle}。{passive}每次{play}{military}牌或{execute}{military}策略后，获得1{vp}。,4
1,2,桓石虔,桓温,{action}获得1{battle}。{passive}每次[{march}]，获得1{vp}。,0
1,3,王镇恶,刘裕,{action}{execute}[{march}]，{fee}减1。{passive}每次{execute}[{march}]后，获得2{vp}。,6
1,2,刘穆之,刘裕,{action}摸1张牌。,6
1,2,桓宣,祖逖,{action}{pay}2{battle}，然后{supplant}1个{neighbor}{neutral}{location}。,4
1,1,沈劲,周玘,{action}选择1个{location}[{emp_defense}]。,3
